VigenciaPPA,MacroObjetivo,UnidadeOrcamentaria,AreaDescricao,Programa,ProgramaResumo,TipoProgramaDescricao,DenominacaoPrograma,JustificativaPrograma,Funcao,Subfuncao,DescricaoAcao,TipoAcao,FinalidadeAcao,DescricaoDetalheAcao,ProdutoDaAcao,UnidadeMedida,RepresentacaoUnidade,FinalidadePadronizada,ModoExecucaoPadronizado,ProdutoPadronizado
2024 - 2027,Segurança Pública,Departamento Estadual de Trânsito,Área de Segurança,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços","Prover a Unidade de recursos orçamentários e financeiros para atender as atividades administrativas, com aquisição de bens e serviços, gestão de pessoal, Operações Especiais e outras, de natureza administrativa, classificadas como despesas correntes e de capital. ","Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Segurança Pública,Policiamento,ASSEGURAR A REMUNERAÇÃO DE PESSOAL ATIVO E ENCARGOS SOCIAIS ,Atividade,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.,Unidade,Un,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.
2024 - 2027,Segurança Pública,Departamento Estadual de Trânsito,Área de Segurança,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços","Prover a Unidade de recursos orçamentários e financeiros para atender as atividades administrativas, com aquisição de bens e serviços, gestão de pessoal, Operações Especiais e outras, de natureza administrativa, classificadas como despesas correntes e de capital. ","Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Segurança Pública,Administração Geral,ASSEGURAR A MANUTENÇÃO ADMINISTRATIVA DA UNIDADE,Atividade,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.,Unidade,Un,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.
2024 - 2027,Segurança Pública,Departamento Estadual de Trânsito,Área de Segurança,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços","Prover a Unidade de recursos orçamentários e financeiros para atender as atividades administrativas, com aquisição de bens e serviços, gestão de pessoal, Operações Especiais e outras, de natureza administrativa, classificadas como despesas correntes e de capital. ","Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Segurança Pública,Administração Geral,ATENDER A SERVIDORES COM AUXÍLIOS,Atividade,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado,Unidade,Un,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado
2024 - 2027,Cidadania,Fundação Estadual de Atendimento Socioeducativo,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Assistência Social,Administração Geral,ATENDER A SERVIDORES COM AUXÍLIOS,Atividade,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado,Unidade,Un,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado
2024 - 2027,Cidadania,Fundação Estadual de Atendimento Socioeducativo,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Assistência Social,Administração Geral,ASSEGURAR A MANUTENÇÃO ADMINISTRATIVA DA UNIDADE,Atividade,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.,Unidade,Un,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.
2024 - 2027,Cidadania,Fundação Estadual de Atendimento Socioeducativo,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Assistência Social,Administração Geral,ASSEGURAR A REMUNERAÇÃO DE PESSOAL ATIVO E ENCARGOS SOCIAIS ,Atividade,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.,Unidade,Un,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.
2024 - 2027,Cidadania,Fundação Estadual de Atendimento Socioeducativo,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Assistência Social,Administração Geral,MANTER A MÃO DE OBRA REEDUCANDA,Atividade,"Viabilizar o pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia, por meio de descentralização realizada pelas unidades do estado para o Fundo Penitenciário.","Trata-se de ação executada por meio de descentralização do recurso para pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia, realizado pelas unidades do estado para o Fundo Penitenciário. Haverá a descentralização dos valores utilizando esta ação na origem e no destino para melhor rastreabilidade dos recursos.",Pagamentos realizados para reeducandos,Unidade,Un,Viabilizar o pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia,"Trata-se de ação executada diretamente ou por meio de descentralização do recurso para pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia, realizado pelas unidades do estado para o Fundo Penitenciário. Quando houver descentralização dos valores será utilizado esta ação na origem e no destino para melhor rastreabilidade dos recursos.",Pagamentos realizados para reeducandos
2024 - 2027,Cidadania,Fundação Estadual de Atendimento Socioeducativo,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Assistência Social,Administração Geral,"FORMAR, QUALIFICAR, TREINAR E CAPACITAR RECURSOS HUMANOS.",Atividade,Melhorar a qualidade dos serviços prestados pela instituição por meio da formação e melhoria contínua de seus servidores.,"Contratação/Disponibilização de cursos/Capacitações/Pós-Graduação para os servidores da unidade, dentre outros.",Servidor capacitado e treinado.,Unidade,Un,Melhorar a qualidade dos serviços prestados pela instituição por meio da formação e melhoria contínua de seus servidores.,"Contratação/Disponibilização de cursos/Capacitações/Pós-Graduação para os servidores da unidade, dentre outros.",Servidor capacitado e treinado.
2024 - 2027,Cidadania,Superintendência Estadual do Indígena,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Assistência Social,Administração Geral,ASSEGURAR A REMUNERAÇÃO DE PESSOAL ATIVO E ENCARGOS SOCIAIS ,Atividade,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.,Unidade,Un,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.
2024 - 2027,Cidadania,Superintendência Estadual do Indígena,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Assistência Social,Assistência  aos Povos Indígenas,ASSEGURAR A MANUTENÇÃO ADMINISTRATIVA DA UNIDADE,Atividade,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.,Unidade,Un,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.
2024 - 2027,Cidadania,Superintendência Estadual do Indígena,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Assistência Social,Administração Geral,ATENDER A SERVIDORES COM AUXÍLIOS,Atividade,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado,Unidade,Un,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado
2025 - 2027,Cidadania,Superintendência Estadual do Indígena,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Direitos da Cidadania,Formação de Recursos Humanos,"FORMAR, QUALIFICAR, TREINAR E CAPACITAR RECURSOS HUMANOS.",Atividade,Melhorar a qualidade dos serviços prestados pela instituição por meio da formação e melhoria contínua de seus servidores.,"Contratação/Disponibilização de cursos/Capacitações/Pós-Graduação para os servidores da unidade, dentre outros.",Servidor capacitado e treinado.,Unidade,Un,Melhorar a qualidade dos serviços prestados pela instituição por meio da formação e melhoria contínua de seus servidores.,"Contratação/Disponibilização de cursos/Capacitações/Pós-Graduação para os servidores da unidade, dentre outros.",Servidor capacitado e treinado.
2024 - 2027,Gestão Estratégica,Polícia Civil,Área de Segurança,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gerir de forma adequada e suficiente a aplicação dos recursos públicos destinados à manutenção administrativa das unidades da Polícia Civil,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Administração Geral,ASSEGURAR A MANUTENÇÃO ADMINISTRATIVA DA UNIDADE,Atividade,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.,Unidade,Un,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.
2024 - 2027,Gestão Estratégica,Polícia Civil,Área de Segurança,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gerir de forma adequada e suficiente a aplicação dos recursos públicos destinados à manutenção administrativa das unidades da Polícia Civil,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Segurança Pública,Administração Geral,MANTER A MÃO DE OBRA REEDUCANDA,Atividade,Viabilizar o pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia,"Trata-se de ação executada diretamente ou por meio de descentralização do recurso para pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia, realizado pelas unidades do estado para o Fundo Penitenciário. Quando houver descentralização dos valores será utilizado esta ação na origem e no destino para melhor rastreabilidade dos recursos.",Pagamentos realizados para reeducandos,Unidade,Un,Viabilizar o pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia,"Trata-se de ação executada diretamente ou por meio de descentralização do recurso para pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia, realizado pelas unidades do estado para o Fundo Penitenciário. Quando houver descentralização dos valores será utilizado esta ação na origem e no destino para melhor rastreabilidade dos recursos.",Pagamentos realizados para reeducandos
2024 - 2027,Gestão Estratégica,Polícia Civil,Área de Segurança,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gerir de forma adequada e suficiente a aplicação dos recursos públicos destinados à manutenção administrativa das unidades da Polícia Civil,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Segurança Pública,Formação de Recursos Humanos,"FORMAR, QUALIFICAR, TREINAR E CAPACITAR RECURSOS HUMANOS.",Atividade,Melhorar a qualidade dos serviços prestados pela instituição por meio da formação e melhoria contínua de seus servidores.,"Contratação/Disponibilização de cursos/Capacitações/Pós-Graduação para os servidores da unidade, dentre outros.",Servidor capacitado e treinado.,Unidade,Un,Melhorar a qualidade dos serviços prestados pela instituição por meio da formação e melhoria contínua de seus servidores.,"Contratação/Disponibilização de cursos/Capacitações/Pós-Graduação para os servidores da unidade, dentre outros.",Servidor capacitado e treinado.
2024 - 2027,Gestão Estratégica,Superintendência Estadual de Compras e Licitações,Área Gestão,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão administrativa do Poder Executivo ,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Formação de Recursos Humanos,"FORMAR, QUALIFICAR, TREINAR E CAPACITAR RECURSOS HUMANOS.",Atividade,Melhorar a qualidade dos serviços prestados pela instituição por meio da formação e melhoria contínua de seus servidores.,"Contratação/Disponibilização de cursos/Capacitações/Pós-Graduação para os servidores da unidade, dentre outros.",Servidor capacitado e treinado.,Unidade,Un,Melhorar a qualidade dos serviços prestados pela instituição por meio da formação e melhoria contínua de seus servidores.,"Contratação/Disponibilização de cursos/Capacitações/Pós-Graduação para os servidores da unidade, dentre outros.",Servidor capacitado e treinado.
2024 - 2027,Gestão Estratégica,Superintendência Estadual de Compras e Licitações,Área Gestão,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão administrativa do Poder Executivo ,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Administração Geral,MANTER A MÃO DE OBRA REEDUCANDA,Atividade,"Viabilizar o pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia, por meio de descentralização realizada pelas unidades do estado para o Fundo Penitenciário.","Trata-se de ação executada por meio de descentralização do recurso para pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia, realizado pelas unidades do estado para o Fundo Penitenciário. Haverá a descentralização dos valores utilizando esta ação na origem e no destino para melhor rastreabilidade dos recursos.",Pagamentos realizados para reeducandos,Unidade,Un,Viabilizar o pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia,"Trata-se de ação executada diretamente ou por meio de descentralização do recurso para pagamento de mão de obra de reeducandos do sistema prisional do Estado de Rondônia, realizado pelas unidades do estado para o Fundo Penitenciário. Quando houver descentralização dos valores será utilizado esta ação na origem e no destino para melhor rastreabilidade dos recursos.",Pagamentos realizados para reeducandos
2024 - 2027,Gestão Estratégica,Superintendência Estadual de Compras e Licitações,Área Gestão,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão administrativa do Poder Executivo ,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Administração Geral,ASSEGURAR A REMUNERAÇÃO DE PESSOAL ATIVO E ENCARGOS SOCIAIS ,Atividade,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.,Unidade,Un,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.
2024 - 2027,Gestão Estratégica,Superintendência Estadual de Compras e Licitações,Área Gestão,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão administrativa do Poder Executivo ,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Administração Geral,ASSEGURAR A MANUTENÇÃO ADMINISTRATIVA DA UNIDADE,Atividade,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.,Unidade,Un,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.
2024 - 2027,Gestão Estratégica,Superintendência Estadual de Compras e Licitações,Área Gestão,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão administrativa do Poder Executivo ,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Administração Geral,ATENDER A SERVIDORES COM AUXÍLIOS,Atividade,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado,Unidade,Un,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado
2024 - 2027,Gestão Estratégica,Agência de Regulação de Serviços Públicos Delegados do Estado de Rondônia,Área Econômica,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Assegurar a manutenção administrativa da unidade.,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Administração Geral,ASSEGURAR A REMUNERAÇÃO DE PESSOAL ATIVO E ENCARGOS SOCIAIS ,Atividade,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.,Unidade,Un,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.
2024 - 2027,Gestão Estratégica,Agência de Regulação de Serviços Públicos Delegados do Estado de Rondônia,Área Econômica,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Assegurar a manutenção administrativa da unidade.,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Administração Geral,ATENDER A SERVIDORES COM AUXÍLIOS,Atividade,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado,Unidade,Un,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado
2024 - 2027,Gestão Estratégica,Agência de Regulação de Serviços Públicos Delegados do Estado de Rondônia,Área Econômica,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Assegurar a manutenção administrativa da unidade.,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Administração,Administração Geral,ASSEGURAR A MANUTENÇÃO ADMINISTRATIVA DA UNIDADE,Atividade,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.,Unidade,Un,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.
2024 - 2027,Saúde,Fundo Estadual de Saúde,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Saúde,Administração Geral,ASSEGURAR A MANUTENÇÃO ADMINISTRATIVA DA UNIDADE,Atividade,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.,Unidade,Un,Prover os meios administrativos para a gestão dos programas e ações da instituição e para o funcionamento da unidade.,Contratação de produtos e serviços necessários para a manutenção da unidade.,Unidade Mantida.
2024 - 2027,Saúde,Fundo Estadual de Saúde,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Saúde,Administração Geral,ATENDER A SERVIDORES COM AUXÍLIOS,Atividade,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado,Unidade,Un,Viabilizar remuneração de servidores com auxílios,Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado
2024 - 2027,Saúde,Fundo Estadual de Saúde,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Saúde,Tecnologia da Informação,PROMOVER A GESTÃO DE T.I.,Atividade,"Desenvolver novas ferramentas de tecnologia da informação no SUS e dar suporte técnico às Unidades Hospitalares, Ambulatoriais e Administrativas pertencentes a Secretaria de Estado da Saúde, assim como mediante contratos administrativos, aquisições de materiais e de licenças de software.",A presente Ação será executada por meio da aquisição de materiais de consumo e serviços necessários ao desenvolvimento de novas ferramentas de tecnologia.,Unidades atendidas,Unidade,Un,NULL,NULL,NULL
2024 - 2027,Saúde,Fundo Estadual de Saúde,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Saúde,Administração Geral,ASSEGURAR A REMUNERAÇÃO DE PESSOAL ATIVO E ENCARGOS SOCIAIS ,Atividade,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.,Unidade,Un,"Viabilizar remuneração de pessoal ativo e encargos sociais, bem como a contribuição do Estado para o custeio dos regime de previdência próprio e complementar.",Pagar mensalmente os servidores registrados na unidade conforme seus cargos.,Servidor remunerado.
2024 - 2027,Saúde,Fundo Estadual de Saúde,Área Social,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,GESTÃO ADMINISTRATIVA DO PODER EXECUTIVO,"Gestão, Manutenção e Serviços",Gestão Administrativa do Poder Executivo,"Desenvolver atividades-meios para dar suporte às funções operacionais-fins da Unidade para qual foi criada por lei, visando à eficiência e eficácia das Políticas Públicas do Poder Executivo.",Saúde,Administração Geral,DESENVOLVER O PROGRAMAS DE BOLSAS E ESTÁGIOS,Atividade,"Dar suporte ao programa de estágio da SESAU-RO para propiciar aos estudantes de nível superior a oportunidade de aperfeiçoamento e complementação de ensino e aprendizagem, visando ao estímulo do desenvolvimento profissional.","Serão atendidos por esta ação estudantes regularmente matriculados em instituição de ensino superior, públicas e privadas, reconhecidas pelo Ministério da Educação",Estudantes Atendidos,Unidade,Un,NULL,NULL,NULL
